title_old,title_new,definition," day"," owner"
Down the hatch,Down the hatch,"Down one's throat. This phrase is usually said before one drinks something (often something that has an especially foul or strong taste). ","2023-08-22","Miles"
Batten down the hatches,Batten down the hatches,"To prepare for a challenging situation. While this originated as a nautical phrase, it is now used for any sort of imminent problem. ","2023-08-22","Eve"
To not give two shits,,,"2023-08-22",
Dog and pony show,Dog and pony show,"An elaborately organized event used mainly for promotion or to drive sales. ","2023-08-22","Eve"
Throw your hat in the ring,Throw (one's) hat in(to) the ring,"To announce that one is going to be competing with others, especially in a political election. ","2023-08-22","Eve"
My enemy’s enemy is my friend,My enemy's enemy is my friend,"A phrase highlighting how a common enemy can be a unifying force for otherwise disparate groups or people. ","2023-08-22","Miles"
Taking the high road,,,"2023-08-22","Miles"
Have a falling out,A falling out,"A severe quarrel or disagreement, especially one that leads to a temporary or permanent end of a relationship. ","2023-08-22","Miles"
A broken record,,,"2023-08-23","MIles"
A bridge too far,A bridge too far,"An act or plan whose ambition overreaches its capability, resulting in or potentially leading to difficulty or failure. Taken from the 1974 book ","2023-08-23","Miles"
Think outside the box,Think outside (of) the box,"To think of something that is outside of or beyond what is considered usual, traditional, or conventional; to think innovatively. ","2023-08-23","Miles"
One fell swoop,One fell swoop,"A single decisive or powerful action. ","2023-08-23","Miles"
Addressing the elephant in the room,,,"2023-08-23","Miles"
Opening up pandora’s box,,,"2023-08-23","Miles"
Pot of gold at the end of the rainbow,Pot of gold at the end of the rainbow,"The ultimate goal, reward, achievement, etc., at the end of a difficult or arduous process. ","2023-08-23","Miles"
Live off the fat of the land,Live off the fat of the land,"To live comfortably on a surplus of resources, without working very hard. ","2023-08-23","Miles"
Get a lay of the land,,,"2023-08-23","Miles"
Get the juices flowing,,,"2023-08-24","Miles"
Eye opening,Eye-opening,"Causing or resulting in a shocking or startling revelation. ","2023-08-24","Miles"
Poking the bear,Poke the bear,"To intentionally irritate or bother someone, especially when doing so carries an obvious risk. ","2023-08-24","Miles"
Spin a web of lies,Spin a web of lies,"To create an intricate contrivance of misdirection, omission, or deception that ultimately serves to ensnare or entangle oneself or others. ","2023-08-24","Miles"
Coming out of your shell,Come out of (one's) shell,"To be or become less shy or reticent and more sociable, outgoing, or enthusiastic. ","2023-08-24","Christina"
Shedding your skin,,,"2023-08-24","Miles"
Put some feelers out,,,"2023-08-24","Miles"
Barrel of monkeys,Barrel of monkeys,"A group that is having fun and enjoying themselves. Often used in the phrase ""more fun than a barrel of monkeys."" ","2023-08-25","Christina"
Monkey see monkey do,"Monkey see, monkey do","Children naturally tend to imitate or copy what they see adults or other children doing. ","2023-08-25","Miles"
Getting your ass handed to you,,,"2023-08-25","Miles"
Come full circle,Come full circle,"To return to the original or a similar position, situation, or circumstance where one or something started. ","2023-08-25","Miles"
High on the hog,High on the hog,"Ostentatiously. The phrase refers to the rich being able to afford the choicest cut of meat, which, from a pig, is higher up on the animal. ","2023-08-25","Miles"
Taking the words out of someone’s mouth,,,"2023-08-25","Miles"
To be blown away,,,"2023-08-25","Miles"
Setting the bar low,Set the bar (high/low),"To establish an expected, required, or desired standard of quality. (Often said of a standard that is constrictive in being either too low or too high). ","2023-08-25","Miles"
Game changer,Game-changer,"That which dramatically or fundamentally alters a situation or the way in which something is done or thought about. ","2023-08-25","Miles"
Keep your eyes peeled,Keep (one's) eye(s) peeled (for someone or something),"To remain vigilant or carefully watchful (for something or someone). ","2023-08-25","Miles"
Hell hath no fury like a woman’s scorn,,,"2023-08-25","Miles"
Top notch,Top-notch,"Stellar; excellent; the best. Can be used with or without a hyphen. ","2023-08-25","Miles"
Hit or miss,Hit or miss,"Sometimes good or successful, sometimes not; having mixed or unpredictable results; random, aimless, careless, or haphazard. Often hyphenated. ","2023-08-25","Miles"
Shooting your shot,Shoot (one's) shot,"To take the risk of making one's availability and interest known to others, as to a prospective employer or romantic partner. ","2023-08-25","Miles"
Hidden gem,Hidden gem,"That which is of exceptional or underappreciated quality but is not especially popular or widely known. ","2023-08-25","Miles"
Too big for your britches,Too big for (one's) boots,"Overconfident in one's importance, skill, or authority; behaving as if one is more important or influential than one actually is. ","2023-08-25","Miles"
Get a big head,Get a big head,"To become arrogant or conceited; to assume an exaggeratedly high opinion of oneself. ","2023-08-25","Miles"
Getting on your soap box,,,"2023-08-25","Miles"
Preaching to the choir,Preach to the choir,"To try to convince someone about something that they already support; to state one's opinion to those who are already most receptive to it. ","2023-08-25","Miles"
Had it up to here,,,"2023-08-25","Miles"
Turn an burn,,,"2023-08-25","Miles"
On a roll,On a roll,"Experiencing a particularly successful period, without any setbacks or low points. ","2023-08-25","Miles"
Short fuse,A short fuse,"A tendency to become angered, enraged, or upset very quickly or easily; a short temper. ","2023-08-25","Miles"
Hot headed,Hothead,"A person with an excitable, fiery, or impetuous temper or disposition; one who is quick to get angry or act rashly. ","2023-08-25","Miles"
Having a ring to it,,,"2023-08-25","Miles"
Dropping the kids off at the pool,,,"2023-08-25","Miles"
Bun in the oven,A bun in the oven,"An unborn child growing in one's womb. ","2023-08-25","Miles"
Another face in the crowd,,,"2023-08-25","Miles"
A fine line,A fine line,"A very narrow division between two deceptively similar things, one of which is worse than the other. ","2023-08-25","Christina"
Saving something for a rainy day,Save (something) for a rainy day,"To reserve something, especially money, for use in a time or period of unforeseen difficulty, trouble, or need. ","2023-08-25","Christina"
Shaking in your boots,Shake in (one's) boots,"To tremble with fear. Often used sarcastically. ","2023-08-25","Christina"
Water water all around and not a drop to drink,,,"2023-08-25","Eve"
Let your guard down,Let (one's) guard down,"To become less guarded or vigilant; to stop being cautious about potential trouble or danger. ","2023-08-25","Eve"
Hole in the wall,Hole in the wall,"A small, inconspicuous place, often an establishment such a restaurant. The term sometimes but not always has a negative connotation implying a place that is perceived to be disreputable in some way. ","2023-08-25","Christina"
Pulling teeth,Pull teeth,"To do something that is especially difficult, tedious, or requires an extreme amount of effort; to do something in the most difficult or unpleasant way possible. ","2023-08-25","Miles"
Take a load off,Take a load off (one's feet),"To sit down and rest one's feet; to relax. (Usually said as a suggestion.) ","2023-08-25","Christina"
Shit end of the stick,,,"2023-08-26","Miles"
Tide me over,Tide (one) over,"To maintain, sustain, or support one through a lean or difficult time until more of something is acquired, especially food or money. ","2023-08-26","Eve"
By the skin of your teeth,By the skin of (one's) teeth,"Barely. Often used to describe something that almost didn't happen. ","2023-08-26","Miles"
Ride on someone’s coattails,,,"2023-08-26","Miles"
Shit rolls down hill,,,"2023-08-26","Eve"
In a heartbeat,In a heartbeat,"Very quickly; as soon as is possible. ","2023-08-26","Miles"
Calm before the storm,Calm before the storm,"A period of inactivity or tranquility before something chaotic begins. Likened to a literal period of calm before a storm begins. ","2023-08-26","Christina"
Take by storm,"Take (someone, something, or some place) by storm","To conquer, seize, or lay siege to something, someone, or some place with a sudden and furious attack. ","2023-08-27","Christina"
Lift the veil,Lift the veil (on something),"To divulge, explain, or reveal something that was previously a secret. ","2023-08-27","Miles"
A feather in your cap,A feather in (one's) cap,"An accomplishment or achievement that one takes pride in. ","2023-08-27","Miles"
Clear cut,Clear-cut,,"2023-08-27","Miles"
Head over heals,,,"2023-08-28","Miles"
Going for broke,Go for broke,"To give something one's full effort. ","2023-08-28","Miles"
Steal the show,Steal the show,"To become the main focus of attention or deliver the most captivating performance in the presence of one or more others, typically unexpectedly. ","2023-08-28","Miles"
In a nutshell,In a nutshell,"In summary; concisely. ","2023-08-28","Miles"
Throw away the key,Lock (someone) up and throw away the key,"To incarcerate someone in prison forever or indefinitely. ","2023-08-28","Miles"
In hog heaven,In hog heaven,"In a state of extreme happiness. ","2023-08-28","Miles"
Joined at the hip,Joined at the hip,"Always near or spending a lot of time with someone else, often a close friend. ","2023-08-28","Miles"
Over your head,Over (one's) head,"Too complicated to be understood by one. ","2023-08-28","Miles"
In too deep,In too deep,"Too involved in something to easily extract oneself or make reasonable decisions. ","2023-08-28","Christina"
Under the spotlight,Under the spotlight,"The center of attention. ","2023-08-28","Christina"
Under a microscope,Under a microscope,"Under close inspection or intense scrutiny. ","2023-08-28","Christina"
Tag team,Tag team,,"2023-08-28","Christina"
Break a leg,Break a leg,"A phrase of encouragement typically said to one who is about to perform before an audience, especially a theater actor. It is thought to be used due to the superstition that wishing one ""good luck"" will result in the opposite, but the exact origin of the phrase is unknown. ","2023-08-28","Christina"
Chips stacked against someone,,,"2023-08-28","Miles"
Different animal,,,"2023-08-28","Miles"
Apple of my eye,The apple of (one's) eye,"A cherished or favored person. This phrase is thought to be Biblical in origin. ","2023-08-28","Christina"
Lift the lid,,,"2023-08-28","Eve"
On the fly,On the fly,"Quickly and informally, without thought or preparation. ","2023-08-29","Christina"
Out of touch,Out of touch,"Not in contact or communicating any longer; not aware of the news or status of someone or something. ","2023-08-29","Christina"
Get your knickers in a twist,Get (one's) knickers in a twist,"To become overly upset or emotional over something, especially that which is trivial or unimportant. ","2023-08-29","Miles"
Stake your claim,Stake (one's) claim,"To assert one's ownership of or right to something. ","2023-08-29","Miles"
Hold a candle,Hold a candle to (someone or something),"To compare to someone or something; to be as good or desirable as someone or something. Often used in the negative to mean the opposite. ","2023-08-29","Miles"
Bought the farm,Bought the farm,"Died. ","2023-08-29","Eve"
Cliff hanger,Cliffhanger,"An ending of a piece of fiction (e.g., a television episode, chapter of a book, a film, etc.) characterized by a dramatically suspenseful and uncertain end. ","2023-08-29","Eve"
Out of the loop,Out of the loop,"Not privy to the most up-to-date information. ","2023-08-30","Christina"
Snap out of it,Snap out of (something),"To suddenly recover or be freed from some negative or undesirable condition, emotion, or situation. ","2023-08-30","Christina"
Parse out,Parse out,"To make sense of or find meaning in something. A noun or pronoun can be used between ""parse"" and ""out."" ","2023-08-30","Eve"
Pan out,Pan out,"To conclude in a successful or pleasing manner; to work out. ","2023-08-30","Christina"
Back to brunch,,,"2023-08-30","Eve"
Down the drain,Down the drain,"In a state of failure or ruination. ","2023-08-30","Miles"
Kiss of death,Kiss of death,"An action, event, or association that causes inevitable ruin or failure. An allusion to Judas Iscariot's betrayal of Jesus Christ, during which Judas kissed Jesus as a way of identifying him to those who would put him to death. ","2023-08-30","Eve"
Bees knees,Be the bee's knees,"To be exceptionally great, excellent, or high-quality. ","2023-08-30","Miles"
Fly off the handle,Fly off the handle,"To become uncontrollably angry; to lose control of one's temper. ","2023-08-30","Miles"
Let loose,Let (someone or something) loose,"To make free or give up control of something or someone; to release or discharge something or someone, as from confinement. ","2023-08-31","Christina"
Come to grips,,,"2023-08-31","Christina"
From the ground up,From the ground up,"From the first step through to completion; entirely. ","2023-08-31","Christina"
I’ll be a monkeys uncle,,,"2023-08-31","Miles"
Rally the troops,Rally the troops,"To call others together to join with or lend support to someone or something. An allusion to reassembling dispersed soldiers (""troops""). Usually used as an imperative. ","2023-08-31","Christina"
Off the charts,Off the charts,"Quite a lot more or better than is usual or was expected. ","2023-08-31","Christina"
Pain in the ass,Pain in the ass,"An especially irritating, aggravating, or obnoxious person, thing, or situation. Primarily heard in US. ","2023-08-31","Christina"
Bases are covered,,,"2023-08-31","Miles"
Next level,Next-level,"Especially good or advanced. ","2023-08-31","Christina"
Read the fine print,Read the fine print,"To make oneself aware of the specific terms, conditions, restrictions, limitations, etc., of an agreement, contract, or other document, which are often printed in very small type and thus easy to miss. ","2023-08-31","Miles"
The jury is out,The jury is (still) out,"A decision has not yet been made. ","2023-08-31","Miles"
Breaking the seal,,,"2023-08-31","Miles"
Going all in,,,"2023-08-31",
Upping the ante,Up the ante,"To raise the stakes in a betting game. ","2023-08-31","Miles"
Tipping point,Tipping point,"A critical or pivotal point in a situation or process at which some small or singular influence acts as a catalyst for a broader, more dramatic, or irreversible change. ","2023-08-31","Miles"
Ace in the hole,Ace in the hole,"A major advantage that one keeps hidden until an ideal time. The phrase originated in poker, in which an ace is the most valuable card. Primarily heard in UK. ","2023-08-31","Christina"
Easter egg,Easter egg,,"2023-08-31","Miles"
At a crossroad,,,"2023-08-31","Miles"
Selling your soul to the devil,Sell (one's) soul (to the devil),"To abandon one's values or morals in return for some highly desired benefit, typically success, power, wealth, etc. ","2023-08-31","Christina"
Head to head,Head-to-head,"Describing a one-on-one matchup or comparison. ","2023-08-31","Christina"
Hand to hand,Hand to hand,"Involving or characterized by people in close proximity to one another. Hyphenated if used as a modifier before a noun. ","2023-08-31","Miles"
Blow it to kingdom come,Blow (someone or something) to kingdom come,,"2023-08-31","Miles"
Fountain of youth,Fountain of youth,"Anything reputed or promising to restore one's youth, vitality, or health, or at least the appearance thereof. ","2023-08-31","Miles"
Head in the clouds,Head in the clouds,"Impractical, aloof, or fanciful to the point of being very unhelpful or counterproductive. ","2023-08-31","Christina"
Rein it in,,,"2023-08-31",
To no avail,To no avail,"Having or with very little benefit, efficacy, or effect. ","2023-08-31","Christina"
Wrap your mind around it,,,"2023-08-31",
Fork in the road,Fork in the road,"Literally, the point at which one road splits or separates off into other roads. ","2023-08-31","Christina"
Fill someone in,Fill in,"To provide information or details, usually by actually writing something in a blank space on a test, form, etc. In this usage, a noun or pronoun can be used between ""fill"" and ""in."" ","2023-08-31","Miles"
Put it on the back burner,Put (something) on the back burner,"To establish something as being a low priority; to give something less or little thought or attention; to postpone, suspend, or hold off on doing something. ","2023-08-31","Miles"
Trickle in,Trickle in,"Of a liquid, to flow or seep in(to something) in drops or a thin stream.","2023-08-31",
Last man standing,The last man/woman/person standing,"The final person who endures or emerges victorious from some situation, activity, or pursuit in which others are eliminated. ","2023-08-31","Christina"
Put a cork in it,Put a cork in it,"To stop talking and be quiet. Usually used as an imperative. ","2023-08-31","Christina"
Bottled up,Bottle up,"Literally, to put and store inside a bottle. A noun or pronoun can be used between ""bottle"" and ""up."" ","2023-08-31","Christina"
Man of the hour,(the) man/woman of the hour,"A person currently being celebrated, honored, or admired by others, especially for a recent victory, accomplishment, or other cause for celebration. ","2023-08-31","Christina"
Start off on the right foot,Start off on the right foot,"To have a positive or favorable start. ","2023-08-31","Christina"
End on a good note,,,"2023-08-31","Christina"
Scratching my head,,,"2023-08-31","Christina"
Mind’s eye,In (one's) mind's eye,"In one's imagination or mind, especially referring to something that is being visualized. ","2023-09-01","Christina"
Going to town,Go to town,"To act with great energy and/or enthusiasm. ","2023-09-01","Christina"
Blow your load,Blow (one's) load,"To lose or spend all of one's money. ","2023-09-01","Christina"
Give it a shot,Give it a shot,"To try something (often for the first time as a means of forming an opinion about it). ","2023-09-01","Christina"
Shake it off,Shake off,"To rid or free oneself from someone or something that one finds aggravating, upsetting, or annoying. A noun or pronoun can be used between ""shake"" and ""off."" ","2023-09-01","Christina"
Shake a leg,,,"2023-09-01","Christina"
Take something off your plate,,,"2023-09-01","Christina"
Leave you hanging,Leave (one) hanging,"To withhold information from one when it is expected to be delivered. ","2023-09-01","Christina"
If wishes were horses then beggars would ride,"If wishes were horses, (then) beggars would ride","One must work for the things one wants, not merely wish for them to come true; wishing for something won't make it happen. ","2023-09-01","Eve"
Dead in the water,Dead in the water,"Completely defunct. ","2023-09-01","Miles"
Shake your tail feathers,Shake (one's) tail feather,"To dance, especially by moving one's buttocks along to the beat. ","2023-09-02","Christina"
Egg on your face,Egg on (one's) face,"The embarrassment that results from a failure or faux pas. Typically used in the phrase ""have egg on (one's) face."" ","2023-09-02","Christina"
Get a bee in your bonnet,,,"2023-09-02","Christina"
Reaching the end of your rope,Reach the end of (one's) rope,"To be completely worn out, exasperated, or exhausted; to have no more patience, endurance, or energy left. ","2023-09-02","Christina"
Bring something to the table,Bring (something) to the table,"To provide or offer a useful skill or attribute to a shared task, activity, or endeavor. ","2023-09-02","Miles"
Give someone lip,,,"2023-09-02","Christina"
Out of the blue,Out of the blue,"Completely unexpectedly. ","2023-09-02","Miles"
Night and day,Night and day,"All the time; continuously. ","2023-09-03","Miles"
If you build it they will come,,,"2023-09-03","Christina"
Ride it out,Ride out,"To travel to or from a place on a vehicle or animal. ","2023-09-03","Christina"
Going to the end of the earth,,,"2023-09-03","Christina"
Blood on your hands,,,"2023-09-03","Miles"
Stick it to the man,Stick it to the man,"To show resistance to or fight back against the established doctrines of a person or body of authority, especially the government. ","2023-09-03","Christina"
Pull the plug,Pull the plug (on someone or something),"Literally, to discontinue the power supply for a device by removing its power cable from the socket. ","2023-09-03","Miles"
Pushing someone’s buttons,Push (one's) buttons,"To do things that create a very strong emotional reaction in one, especially anger, irritation, or exasperation. ","2023-09-03","Miles"
Go wherever the wind takes you,,,"2023-09-03",
Loose cannon,Loose cannon,"Someone who has the propensity to act unpredictably or to lose their temper very quickly. ","2023-09-03","Miles"
Being in someone’s corner,,,"2023-09-03","Christina"
Taking the piss,Take the piss (out of) (someone or something),"To tease, mock, or ridicule (someone or something); to joke or kid around (about someone or something). Primarily heard in UK, Ireland. ","2023-09-03","Christina"
To be on fire,,,"2023-09-03","Christina"
Clap back,Clap back,,"2023-09-03","Miles"
Sound the alarm,Sound the alarm,"Literally, to activate an alarm. ","2023-09-03","Miles"
Count your blessings,Count (one's) blessings,"To reflect on the good things in one's life and be grateful for them. ","2023-09-03","Miles"
Bag of tricks,Bag of tricks,"The items that one has available for use. The phrase originally referred to the items a magician would use for magic tricks. ","2023-09-04",
Go out on a limb,Go out on a limb,"To do or say something that lacks evidence or support. ","2023-09-04",
Glass ceiling,Glass ceiling,"The systemic discrimination (likened to an invisible barrier) against certain groups in the workplace, especially women, that prevents them from advancing. ","2023-09-04",
The powder trail is lit,,,"2023-09-04",
Under the hood,Under the hood,"[hot-rodder talk] 1. The underlying implementation of a product (hardware, software, or idea).  Implies that the implementation is not intuitively obvious from the appearance, but the speaker is about to enable the listener to ","2023-09-04",
Chip away at something,,,"2023-09-04",
Take a stab at something,A try (at something),"A chance or opportunity to do or attempt something. ","2023-09-06","Miles"
Plant the seed,Plant the seeds (of something),"To do something that ensures a certain outcome in the future, especially an unfortunate or tragic one. ","2023-09-04","Miles"
Hit the ground running,Hit the ground running,"To begin something energetically and successfully. ","2023-09-06","Christina"
Bite the dust,Bite the dust,,"2023-09-07","Christina"
Pull it off,Pull off,"To forcibly remove something (from or off something else). In this usage, a noun or pronoun can be used between ""pull"" and ""off."" ","2023-09-07","Christina"
Get under your skin,Get under (one's) skin,"To become a source of irritation. ","2023-09-07","Miles"
Across the board,Across the board,"Applying to or impacting every part or individual in a group or spectrum of things. ","2023-09-07","Miles"
Take something and run with it,,,"2023-09-07","Miles"
Come to terms,Come to terms,"To agree to or do something, especially a set of demands or conditions. ","2023-09-07","Miles"
Setting the stage,Set the stage for (something),"Literally, to prepare and decorate a stage for something, such as a performance. ","2023-09-07","Miles"
Put someone on blast,Put (one) on blast,"To publicly attack, scold, shame, or mock one, typically on social media. ","2023-09-07","Miles"
In the ballpark,In the ballpark,"Close to something specific, often a cost or amount. ","2023-09-07","Miles"
Lean into it,Lean into (someone or something),"To push into or press against someone or something. ","2023-09-07","Miles"
Change of heart,A change of heart,"A change in one's opinion or feelings on a matter. ","2023-09-07","Miles"
Weed out,Weed out,"To remove one or multiple undesirable people or things from a group. A noun or pronoun can be used between ""weed"" and ""out."" ","2023-09-07","Miles"
Thinning the herd,,,"2023-09-07","Miles"
Send someone for a loop,,,"2023-09-07","Miles"
Keep in touch,Keep in touch,"To maintain contact with another person, especially at intervals so as to remain up to date with each other's lives. ","2023-09-07","Miles"
On the same/different level,,,"2023-09-07","Miles"
Match made in heaven,A match made in heaven,"An extremely well-suited pairing of people or things; a match that will result in a particularly positive or successful outcome. ","2023-09-07","Miles"
Bottom line,The bottom line,"Literally, the final figure on a statement showing a person or company's total profit or loss. ","2023-09-07","Christina"
Hand in glove,Hand in glove,"In close association or collaboration (with someone or something). ","2023-09-07","Christina"
Wind down/wind up,,,"2023-09-09","Christina"
Ramping up,Ramp up,"To increase. A noun or pronoun can be used between ""ramp"" and ""up."" ","2023-09-09","Christina"
To piggyback off of something,Piggyback off (of) (something),"To use something said or done by someone else as the foundation for one's own actions. ","2023-09-09","Christina"
Thread the needle,Thread the needle,,"2023-09-09","Christina"
Chicken out,Chicken out,"To refuse to do something due to fear (real or perceived). ","2023-09-09","Christina"
Lose your head,Lose (one's) head,"To lose one's composure and act emotionally or irrationally. ","2023-09-09","Miles"
Run it up the flagpole,Run it up the flagpole (and see who salutes),"To test out an idea in order to gauge interest or gain feedback. ","2023-09-09","Christina"
Another nail in the coffin,Another nail in the coffin,"Another negative event or action that contributes to one's downfall or to something's failure. ","2023-09-09","Miles"
Hit rock bottom,Hit rock bottom,"The reach the lowest or worst point of a decline. ","2023-09-09","Miles"
Eagle eye,Eagle eye,"Eeyesight, especially for something in particular. ","2023-09-11","Christina"
Out of left field,Out of left field,"Uncommon, unpopular, or otherwise strange. ","2023-09-11","Christina"
Half cocked,Half-cocked,"Prematurely, impulsively, or rashly. ","2023-09-11","Christina"
Heart to heart,Heart-to-heart,,"2023-09-11","Miles"
Sitting duck,Sitting duck,"A person or thing that is vulnerable to or unprotected from attack; an easy target. ","2023-09-12","Christina"
Sticking your neck out for someone,,,"2023-09-12","Christina"
Clear the air,Clear the air,"To remove or improve stale air or an unpleasant odor. ","2023-09-12","Christina"
Put a sock in it,Put a sock in it,"To stop talking. Often used as an imperative. ","2023-09-12","Christina"
To put your finger on something,,,"2023-09-12","Miles"
Have your finger on the pulse,Have (one's) finger on the pulse,"To be very aware of current trends and happenings in a particular place. ","2023-09-12","Miles"
Buckle down,Buckle down,"To anchor or fasten something or someone in place. In this usage, a noun or pronoun can be used between ""buckle"" and ""down."" ","2023-09-12","Miles"
Blow over,Blow over,"Literally, of the wind, to topple something or blow it to the ground. In this usage, a noun or pronoun can be used between ""blow"" and ""over."" ","2023-09-18","Christina"
Work yourself into a lather,Work (oneself) into a lather,"To become very nervous, distressed, or upset. ","2023-09-18","Christina"
Ham it up,Ham it up,"To act in an exaggerated way, typically in order to be funny. ","2023-09-18","Christina"
Be my guest,Be my guest,"Used to express encouragement or allowance for someone else to take action. ","2023-09-18","Christina"
Blow it out of the water,Blow (someone or something) out of the water,"To totally defeat or ruin someone or something. The image refers to the explosion of a ship that has been hit by enemy fire. ","2023-09-19","Miles"
To sink in,Sink in,"To penetrate, absorb, or soak in (to something). ","2023-09-20","Miles"
When something goes pear shaped,,,"2023-09-20","Miles"
I’ll fall on that sword,,,"2023-09-20","Miles"
Sleep with one eye open,Sleep with one eye open,"To stay awake or sleep very lightly so as to remain very wary, cautious, or alert. ","2023-09-20","Miles"
Get back in the saddle,,,"2023-09-22","Christina"
Fired up,(all) fired up,"Feeling very excited or passionate about something. ","2023-09-22",
Bobs your uncle,,,"2023-09-24","Miles"
Rub someone the wrong way,Rub (one) the wrong way,"To irritate one due to someone's or something's presence, nature, or habitual behavior (as opposed to directly and intentionally). Primarily heard in US. ","2023-09-24","Miles"
To yank someone’s chain,,,"2023-09-24","Christina"
Something in the wind,Something in the wind,"Something rumored, anticipated, or intuited to happen or take place. ","2023-09-24","Christina"
Keep the train rolling,,,"2023-09-24","Christina"
Get your head in the game,Get (one's) head in the game,"To focus on and put one's best effort into the athletic match currently underway. ","2023-09-28","Miles"
Being on the ball,,,"2023-09-28","Miles"
Back against the wall,Back to the wall,"In a bad or high-pressure situation in which one's choice or ability to act is limited. ","2023-09-28","Miles"
Backed into a corner,Be backed into a corner,"To be forced into a difficult or unpleasant situation that one cannot easily resolve or escape. ","2023-09-28","Miles"
Smuggling plums,,,"2023-09-28","Ryan"
Get to the bottom of some thing,,,"2023-09-28","Christina"
Bottom of the totem pole,,,"2023-09-28","Christina"
Buckle up,Buckle up,"To anchor or fasten something or someone in place. In this usage, a noun or pronoun can be used between ""buckle"" and ""up."" ","2023-09-29","Miles"
Scratches that same itch,,,"2023-09-29","Miles"
Flying off the shelf,,,"2023-09-29","Miles"
Off to the races,Off to the races,"Departing for something. ","2023-09-29","Miles"
Grind my gears,Grind (someone's) gears,"To greatly or specifically irritate or annoy someone. ","2023-10-06","Christina"
Locked and loaded,Locked and loaded,"Loaded with ammunition and prepared to be fired. ","2023-10-01","Miles"
Cut and dried,Cut and dried,"Prearranged, unchangeable, and dull. When it appears before a noun, the phrase is usually hyphenated. ","2023-10-01","Miles"
Slip through the cracks,Slip through the cracks,"To go unnoticed or undealt with; to be unintentionally neglected or ignored, especially in a corporate, political, or social system. ","2023-10-01","Miles"
Close a chapter,,,"2023-10-10","Christina"
Knock out,Knock (oneself) out,"Expend a lot of one's energy or try very hard (doing something). The image is of working so hard as to become unconscious. ","2023-10-10","Christina"
Take it on the chin,Take (something) on the chin,"Literally, to receive an impact, especially a punch, on one's chin. ","2023-10-10","Christina"
Dig your own grave,Dig (one's) own grave,"To do something that has or will have negative consequences that are easily able to be foreseen. ","2023-10-10","Christina"
Put it all on the line,Put it all on the line,"To put forth one's maximum amount of energy or effort; to make use of all of one's resources or abilities. ","2023-10-10","Christina"
Over the top,Over the top,"Beyond a certain limit, threshold, goal, or quota. ","2023-10-14","Miles"
Touch base,Touch base (with someone),"To contact someone to update them or receive an update from them. ","2023-10-14","Miles"
Within an inch of life,Within an inch of (one's) life,"Very soundly or thoroughly, to or as if to the point of near death. ","2023-10-18","Christina"
Picking your brain,Pick (one's) brain(s),"To ask one questions in order to obtain detailed information or advice. ","2023-10-18","Christina"
A slap in the face,Slap in the face,"Words or actions that have offended or otherwise upset someone. ","2023-10-18","Christina"
A slap on the wrist,Slap on the wrist,"A mild punishment or warning. ","2023-10-27","Miles"
Taking a nose dive,Take a nosedive,"Of an aircraft, to go into a sudden and rapid descent toward the ground leading with the nose of the plane. ","2023-10-27","Miles"
Rolls off the tongue,Roll off the tongue,"To be very easy or enjoyable to say. Sometimes used sarcastically to imply the opposite. ","2023-10-27","Miles"
To have someone’s back,,,"2023-10-27","Miles"
Picking something up,,,"2023-10-27","Miles"
Licking someone’s boots,,,"2023-10-27","Miles"
Kissing someone’s ass,,,"2023-10-27","Miles"
On deck,On deck,"Literally, on the deck of a ship or boat. ","2023-10-27","Miles"
Out of hand,Out of hand,"In an unruly or unmanageable state or manner; out of control. ","2023-10-27","Miles"
Roll up your sleeves,Roll up (one's) sleeves,"To do or get ready to do something difficult, intense, or demanding. Literally rolling up one's sleeves is often done before performing some kind of work. ","2023-10-31","Christina"
Piss on a page,,,"2023-10-31","Christina"
Licking your wounds,Lick (one's) wounds,"To withdraw after a misstep or defeat in order to recover. ","2023-10-31","Christina"
In a pinch,In a pinch,"When something ideal or preferred is not available; as a substitute. ","2023-10-31","Miles"
To put someone on the spot,,,"2023-11-07","Christina"
As the twig is bent so grows the tree,,,"2023-11-07","Miles"
Middle of the road,Middle-of-the-road,"Describing an option that is neither the most nor the least expensive. ","2023-11-11","Miles"
stick up your ass,Stick up (one's) ass,"A rigid and uptight demeanor. ","2023-11-11","Miles"
up in the air,Be up in the air,"To be uncertain or subject to change. ","2023-11-16","Christina"
spit on your grave,,,"2023-11-16","Christina"
dont piss into the wind,,,"2023-11-16","Miles"
go to bat,Go to bat for (one),"To act in support of one. ","2023-11-17","Christina"
cooking something up,Cook up,"A noun or pronoun can be used between ""cook"" and ""up.""","2023-11-17","Christina"
thumb up your ass,,,"2023-11-17","Christina"
shit dont stink,,,"2023-11-17","Christina"
cherry picking,Cherry-pick,"To choose something very carefully to ensure that the best option is chosen, perhaps through means that provide one an unfair advantage or from a selection that others do not have ready access to. ","2023-11-17","Christina"
hot to trot,Hot to trot,"Eager or impatient to do something. ","2023-11-17","Christina"
a wake up call,,,"2023-11-17","Miles"
cutting your teeth on something,Cut (one's) teeth on (something),"To gain experience with something, especially at a young age (when one's teeth would be coming in). ","2023-12-10","Matt"
dont go chasing waterfalls,,,"2023-12-10","Christina"
Twisting in the wind,,,"2024-01-08","Miles"
Put the pussy on the chain wax,,,"2024-01-08","Miles"
If frogs had glass asses they would would only hop once,,,"2024-01-08","Miles"
